LocusID,GOterm,GOdesc,Ontology
Solyc00g500346.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500347.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500348.1.1,GO:0017004,cytochrome complex assembly,BP
Solyc00g500349.1.1,GO:0004129,cytochrome-c oxidase activity,MF
Solyc00g032030.2.1,GO:0005634,nucleus,CC
Solyc00g500357.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500359.1.1,GO:0016021,integral component of membrane,CC
Solyc00g500362.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc00g500363.1.1,GO:0003735,structural constituent of ribosome,MF
Solyc01g005000.3.1,GO:0016831,carboxy-lyase activity,MF
Solyc01g005020.3.1,GO:0006812,monoatomic cation transport,BP
Solyc01g005030.4.1,GO:0016021,integral component of membrane,CC
Solyc01g005070.3.1,GO:0005543,phospholipid binding,MF
Solyc01g005100.4.1,GO:0016491,oxidoreductase activity,MF
Solyc01g005110.3.1,GO:0006486,protein glycosylation,BP
Solyc01g005120.3.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g005170.3.1,GO:0005543,phospholipid binding,MF
Solyc01g005210.4.1,GO:0003824,catalytic activity,MF
Solyc01g005230.5.1,GO:0008168,methyltransferase activity,MF
Solyc01g005310.3.1,GO:0005525,GTP binding,MF
Solyc01g005330.3.1,GO:0007010,cytoskeleton organization,BP
Solyc01g005340.3.1,GO:0005515,protein binding,MF
Solyc01g005350.4.1,GO:0008168,methyltransferase activity,MF
Solyc01g005370.3.1,GO:0005509,calcium ion binding,MF
Solyc01g005390.3.1,GO:0016787,hydrolase activity,MF
Solyc01g005430.3.1,GO:0005515,protein binding,MF
Solyc01g005450.3.1,GO:0005515,protein binding,MF
Solyc01g005460.4.1,GO:0007017,microtubule-based process,BP
Solyc01g005490.3.1,GO:0016787,hydrolase activity,MF
Solyc01g005510.3.1,GO:0005507,copper ion binding,MF
Solyc01g005540.5.1,GO:0000166,nucleotide binding,MF
Solyc01g005560.3.1,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
Solyc01g005600.4.1,GO:0045454,cell redox homeostasis,BP
Solyc01g005610.4.1,GO:0016788,"hydrolase activity, acting on ester bonds",MF
Solyc01g005630.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g005730.3.1,GO:0005515,protein binding,MF
Solyc01g005750.1.1,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",MF
Solyc01g005760.3.1,GO:0005515,protein binding,MF
Solyc01g005780.1.1,GO:0005515,protein binding,MF
Solyc01g005820.4.1,GO:0003676,nucleic acid binding,MF
Solyc01g005830.4.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g005900.3.1,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Solyc01g005920.3.1,GO:0016020,membrane,CC
Solyc01g005950.4.1,GO:0016787,hydrolase activity,MF
Solyc01g005960.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g005970.3.1,GO:0005515,protein binding,MF
Solyc01g006000.3.1,GO:0004584,GO:0004584,
Solyc01g006100.4.1,GO:0003682,chromatin binding,MF
Solyc01g006110.3.1,GO:0009966,regulation of signal transduction,BP
Solyc01g006120.4.1,GO:0004672,protein kinase activity,MF
Solyc01g006150.3.1,GO:0006812,monoatomic cation transport,BP
Solyc01g006180.4.1,GO:0005525,GTP binding,MF
Solyc01g006190.3.1,GO:0005634,nucleus,CC
Solyc01g006210.4.1,GO:0006281,DNA repair,BP
Solyc01g006220.3.1,GO:0005515,protein binding,MF
Solyc01g006250.2.1,GO:0005515,protein binding,MF
Solyc01g006260.4.1,GO:0004540,ribonuclease activity,MF
Solyc01g006280.3.1,GO:0004329,formate-tetrahydrofolate ligase activity,MF
Solyc01g006300.3.1,GO:0004601,peroxidase activity,MF
Solyc01g006310.3.1,GO:0004601,peroxidase activity,MF
Solyc01g006340.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g006350.4.1,GO:0000148,"1,3-beta-D-glucan synthase complex",CC
Solyc01g006370.3.1,GO:0000148,"1,3-beta-D-glucan synthase complex",CC
Solyc01g006430.3.1,GO:0006629,lipid metabolic process,BP
Solyc01g006440.2.1,GO:0016020,membrane,CC
Solyc01g006510.3.1,GO:0055114,oxidoreductase process,MF
Solyc01g006520.3.1,GO:0004672,protein kinase activity,MF
Solyc01g006530.1.1,GO:0004672,protein kinase activity,MF
Solyc01g006540.4.1,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",MF
Solyc01g006555.2.1,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",MF
Solyc01g006580.4.1,GO:0016491,oxidoreductase activity,MF
Solyc01g006590.3.1,GO:0004672,protein kinase activity,MF
Solyc01g006610.2.1,GO:0016491,oxidoreductase activity,MF
Solyc01g006630.3.1,GO:0016491,oxidoreductase activity,MF
Solyc01g006640.1.1,GO:0003824,catalytic activity,MF
Solyc01g006650.2.1,GO:0005634,nucleus,CC
Solyc01g006660.4.1,GO:0004252,serine-type endopeptidase activity,MF
Solyc01g006670.2.1,GO:0016758,hexosyltransferase activity,MF
Solyc01g006710.4.1,GO:0004386,helicase activity,MF
Solyc01g006720.4.1,GO:0016020,membrane,CC
Solyc01g006740.4.1,GO:0005986,sucrose biosynthetic process,BP
Solyc01g006840.3.1,GO:0005509,calcium ion binding,MF
Solyc01g006860.3.1,GO:0051259,protein complex oligomerization,BP
Solyc01g006870.4.1,GO:0008289,lipid binding,MF
Solyc01g006880.4.1,GO:0005515,protein binding,MF
Solyc01g006930.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g006950.3.1,GO:0016020,membrane,CC
Solyc01g006970.4.1,GO:0003676,nucleic acid binding,MF
Solyc01g006990.4.1,GO:0005515,protein binding,MF
Solyc01g007010.2.1,GO:0004842,ubiquitin-protein transferase activity,MF
Solyc01g007040.4.1,GO:0004842,ubiquitin-protein transferase activity,MF
Solyc01g007070.3.1,GO:0003677,DNA binding,MF
Solyc01g007080.3.1,GO:0015743,malate transport,BP
Solyc01g007090.1.1,GO:0015743,malate transport,BP
Solyc01g007120.3.1,GO:0004674,protein serine/threonine kinase activity,MF
Solyc01g007130.3.1,GO:0004672,protein kinase activity,MF
Solyc01g007150.3.1,GO:0006886,intracellular protein transport,BP
Solyc01g007750.3.1,GO:0003690,double-stranded DNA binding,MF
Solyc01g007760.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g007850.2.1,GO:0008270,zinc ion binding,MF
Solyc01g007910.3.1,GO:0048037,GO:0048037,
Solyc01g007920.2.1,GO:0003824,catalytic activity,MF
Solyc01g007940.4.1,GO:0009058,biosynthetic process,BP
Solyc01g007960.3.1,GO:0004672,protein kinase activity,MF
Solyc01g007980.4.1,GO:0004672,protein kinase activity,MF
Solyc01g007990.4.1,GO:0004672,protein kinase activity,MF
Solyc01g008000.3.1,GO:0005525,GTP binding,MF
Solyc01g008020.5.1,GO:0005337,nucleoside transmembrane transporter activity,MF
Solyc01g008060.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g008080.3.1,GO:0003735,structural constituent of ribosome,MF
Solyc01g008090.4.1,GO:0003735,structural constituent of ribosome,MF
Solyc01g008110.5.1,GO:0005506,iron ion binding,MF
Solyc01g008120.4.1,GO:0003712,transcription coregulator activity,MF
Solyc01g008130.4.1,GO:0035556,intracellular signal transduction,BP
Solyc01g008140.4.1,GO:0004672,protein kinase activity,MF
Solyc01g008170.3.1,GO:0046872,metal ion binding,MF
Solyc01g008240.4.1,GO:0016021,integral component of membrane,CC
Solyc01g008250.3.1,GO:0045454,cell redox homeostasis,BP
Solyc01g008290.3.1,GO:0005737,cytoplasm,CC
Solyc01g008300.2.1,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Solyc01g008320.3.1,GO:0046872,metal ion binding,MF
Solyc01g008340.3.1,GO:0003735,structural constituent of ribosome,MF
Solyc01g008360.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g008390.3.1,GO:0005515,protein binding,MF
Solyc01g008410.3.1,GO:0005515,protein binding,MF
Solyc01g008420.3.1,GO:0006855,xenobiotic transmembrane transport,BP
Solyc01g008440.3.1,GO:0005509,calcium ion binding,MF
Solyc01g008460.3.1,GO:0009055,electron transfer activity,MF
Solyc01g008470.3.1,GO:0015031,protein transport,BP
Solyc01g008490.4.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g008500.4.1,GO:0004672,protein kinase activity,MF
Solyc01g008530.3.1,GO:0003824,catalytic activity,MF
Solyc01g008540.4.1,GO:0003824,catalytic activity,MF
Solyc01g008550.4.1,GO:0003824,catalytic activity,MF
Solyc01g008560.3.1,GO:0003951,NAD+ kinase activity,MF
Solyc01g008570.1.1,GO:0004672,protein kinase activity,MF
Solyc01g008580.1.1,GO:0016020,membrane,CC
Solyc01g008590.1.1,GO:0016020,membrane,CC
Solyc01g008610.5.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g008620.5.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g008640.5.1,GO:0005506,iron ion binding,MF
Solyc01g008650.3.1,GO:0005506,iron ion binding,MF
Solyc01g008660.4.1,GO:0005515,protein binding,MF
Solyc01g008670.5.1,GO:0005506,iron ion binding,MF
Solyc01g008710.5.1.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g008720.2.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g008730.3.1,GO:0006351,DNA-templated transcription,BP
Solyc01g008740.2.1,GO:0005509,calcium ion binding,MF
Solyc01g008770.3.1,GO:0007165,signal transduction,BP
Solyc01g008790.4.1,GO:0016788,"hydrolase activity, acting on ester bonds",MF
Solyc01g008800.3.1,GO:0005515,protein binding,MF
Solyc01g008820.3.1,GO:0004190,aspartic-type endopeptidase activity,MF
Solyc01g008830.2.1,GO:0005507,copper ion binding,MF
Solyc01g008850.4.1,GO:0004672,protein kinase activity,MF
Solyc01g008860.1.1,GO:0004672,protein kinase activity,MF
Solyc01g008870.1.1,GO:0004672,protein kinase activity,MF
Solyc01g008880.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g008890.4.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g008930.4.1,GO:0010024,phytochromobilin biosynthetic process,BP
Solyc01g008960.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g008970.4.1,GO:0003676,nucleic acid binding,MF
Solyc01g008980.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g008990.4.1,GO:0000445,THO complex part of transcription export complex,CC
Solyc01g009000.3.1,GO:0061630,ubiquitin protein ligase activity,MF
Solyc01g009010.3.1,GO:0005524,ATP binding,MF
Solyc01g009020.5.1,GO:0004869,cysteine-type endopeptidase inhibitor activity,MF
Solyc01g009050.3.1,GO:0032324,molybdopterin cofactor biosynthetic process,BP
Solyc01g009060.3.1,GO:0005515,protein binding,MF
Solyc01g009170.4.1,GO:0005634,nucleus,CC
Solyc01g009180.4.1,GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,MF
Solyc01g009230.4.1,GO:0016491,oxidoreductase activity,MF
Solyc01g009240.4.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g009280.4.1,GO:0016787,hydrolase activity,MF
Solyc01g009300.3.1,GO:0004672,protein kinase activity,MF
Solyc01g009310.3.1,GO:0016020,membrane,CC
Solyc01g009330.1.1,GO:0004842,ubiquitin-protein transferase activity,MF
Solyc01g009370.2.1,GO:0005506,iron ion binding,MF
Solyc01g009380.3.1,GO:0016021,integral component of membrane,CC
Solyc01g009390.4.1,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,BP
Solyc01g009400.3.1,GO:0004601,peroxidase activity,MF
Solyc01g009410.4.1,GO:0004601,peroxidase activity,MF
Solyc01g009420.5.1,GO:0003824,catalytic activity,MF
Solyc01g009440.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g009443.2.1,GO:0004222,metalloendopeptidase activity,MF
Solyc01g009470.2.1,GO:0003950,NAD+ ADP-ribosyltransferase activity,MF
Solyc01g009510.2.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g009600.5.1,GO:0008168,methyltransferase activity,MF
Solyc01g009610.3.1,GO:0004864,protein phosphatase inhibitor activity,MF
Solyc01g009620.3.1,GO:0003729,mRNA binding,MF
Solyc01g009630.3.1,GO:0003729,mRNA binding,MF
Solyc01g009640.4.1,GO:0004650,polygalacturonase activity,MF
Solyc01g009690.3.1,GO:0005515,protein binding,MF
Solyc01g009700.3.1,GO:0005515,protein binding,MF
Solyc01g009810.3.1,GO:0005515,protein binding,MF
Solyc01g009860.3.1,GO:0003677,DNA binding,MF
Solyc01g009870.3.1,GO:0006629,lipid metabolic process,BP
Solyc01g009880.2.1,GO:0000145,exocyst,CC
Solyc01g009890.1.1,GO:0009055,electron transfer activity,MF
Solyc01g009900.3.1,GO:0009055,electron transfer activity,MF
Solyc01g009910.1.1,GO:0009055,electron transfer activity,MF
Solyc01g009930.3.1,GO:0005515,protein binding,MF
Solyc01g009935.2.1,GO:0009733,response to auxin,BP
Solyc01g009940.1.1,GO:0016787,hydrolase activity,MF
Solyc01g009960.4.1,GO:0006631,fatty acid metabolic process,BP
Solyc01g009970.3.1,GO:0016787,hydrolase activity,MF
Solyc01g009990.3.1,GO:0000413,protein peptidyl-prolyl isomerization,BP
Solyc01g010020.3.1,GO:0005509,calcium ion binding,MF
Solyc01g010030.3.1,GO:0004672,protein kinase activity,MF
Solyc01g010050.3.1,GO:0004014,adenosylmethionine decarboxylase activity,MF
Solyc01g010080.3.1,GO:0005216,monoatomic ion channel activity,MF
Solyc01g010130.4.1,GO:0046983,protein dimerization activity,MF
Solyc01g010160.3.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g010240.3.1,GO:0007275,multicellular organism development,BP
Solyc01g010250.4.1,GO:0005975,carbohydrate metabolic process,BP
Solyc01g010260.3.1,GO:0005506,iron ion binding,MF
Solyc01g010290.4.1,GO:0071705,nitrogen compound transport,BP
Solyc01g010370.3.1,GO:0008168,methyltransferase activity,MF
Solyc01g010390.3.1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Solyc01g010490.5.1,GO:0005506,iron ion binding,MF
Solyc01g010530.1.1,GO:0016021,integral component of membrane,CC
Solyc01g010540.3.1,GO:0003723,RNA binding,MF
Solyc01g010580.3.1,GO:0003723,RNA binding,MF
Solyc01g010590.2.1,GO:0000413,protein peptidyl-prolyl isomerization,BP
Solyc01g010600.4.1,GO:0003677,DNA binding,MF
Solyc01g010650.3.1,GO:0055085,transmembrane transport,BP
Solyc01g010660.3.1,GO:0004672,protein kinase activity,MF
Solyc01g010710.5.1,GO:0004185,serine-type carboxypeptidase activity,MF
Solyc01g010720.4.1,GO:0004185,serine-type carboxypeptidase activity,MF
Solyc01g010760.3.1,GO:0005741,mitochondrial outer membrane,CC
Solyc01g010780.4.1,GO:0004672,protein kinase activity,MF
Solyc01g010820.3.1,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Solyc01g010860.3.1,GO:0005506,iron ion binding,MF
Solyc01g010870.3.1,GO:0008168,methyltransferase activity,MF
Solyc01g010880.3.1,GO:0008270,zinc ion binding,MF
Solyc01g010900.3.1,GO:0005506,iron ion binding,MF
Solyc01g010950.3.1,GO:0004672,protein kinase activity,MF
Solyc01g010970.3.1,GO:0003676,nucleic acid binding,MF
Solyc01g011000.3.1,GO:0003723,RNA binding,MF
Solyc01g011040.3.1,GO:0005515,protein binding,MF
Solyc01g011050.3.1,GO:0005515,protein binding,MF
Solyc01g011340.3.1,GO:0016787,hydrolase activity,MF
Solyc01g011417.1.1,GO:0009521,photosystem,CC
Solyc01g011430.4.1,GO:0004144,diacylglycerol O-acyltransferase activity,MF
Solyc01g011470.1.1,GO:0006952,defense response,BP
Solyc01g011510.4.1,GO:0016491,oxidoreductase activity,MF
Solyc01g012540.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g012580.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g012670.3.1,GO:0004525,ribonuclease III activity,MF
Solyc01g012690.1.1,GO:0005515,protein binding,MF
Solyc01g012700.4.1,GO:0016491,oxidoreductase activity,MF
Solyc01g012740.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g012760.1.1,GO:0016491,oxidoreductase activity,MF
Solyc01g013780.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g013840.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g013880.1.1,GO:0005515,protein binding,MF
Solyc01g013883.2.1,GO:0016491,oxidoreductase activity,MF
Solyc01g013890.3.1,GO:0016491,oxidoreductase activity,MF
Solyc01g013920.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g160700.1.1,GO:0003677,DNA binding,MF
Solyc01g014020.1.1,GO:0005515,protein binding,MF
Solyc01g014060.3.1,GO:0009055,electron transfer activity,MF
Solyc01g014065.2.1,GO:0009055,electron transfer activity,MF
Solyc01g014070.1.1,GO:0009055,electron transfer activity,MF
Solyc01g014160.1.1,GO:0005515,protein binding,MF
Solyc01g014320.4.1,GO:0008168,methyltransferase activity,MF
Solyc01g014410.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g014450.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g014480.3.1,GO:0005634,nucleus,CC
Solyc01g014490.4.1,GO:0003677,DNA binding,MF
Solyc01g014520.1.1,GO:0004672,protein kinase activity,MF
Solyc01g014550.3.1,GO:0004672,protein kinase activity,MF
Solyc01g014623.2.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g014650.1.1,GO:0004672,protein kinase activity,MF
Solyc01g014690.2.1,GO:0004672,protein kinase activity,MF
Solyc01g014720.3.1,GO:0003700,DNA-binding transcription factor activity,MF
Solyc01g014800.1.1,GO:0004525,ribonuclease III activity,MF
Solyc01g014840.3.1,GO:0043531,ADP binding,MF
Solyc01g014850.4.1,GO:0003723,RNA binding,MF
Solyc01g014910.2.1,GO:0046983,protein dimerization activity,MF
Solyc01g015000.3.1,GO:0006808,regulation of nitrogen utilization,BP
Solyc01g015060.1.1,GO:0031047,RNA-mediated gene silencing,BP
Solyc01g015080.3.1,GO:0004601,peroxidase activity,MF
Solyc01g015210.1.1,GO:0003677,DNA binding,MF
Solyc01g160020.1.1,GO:0003676,nucleic acid binding,MF
Solyc01g016355.1.1,GO:0005515,protein binding,MF
Solyc01g016680.3.1,GO:0016491,oxidoreductase activity,MF
Solyc01g161220.1.1,GO:0000723,telomere maintenance,BP
Solyc01g161230.1.1,GO:0000723,telomere maintenance,BP
Solyc01g160390.1.1,GO:0000723,telomere maintenance,BP
Solyc01g016960.1.1,GO:0043531,ADP binding,MF
Solyc01g161320.1.1,GO:0006952,defense response,BP
Solyc01g017060.3.1,GO:0005524,ATP binding,MF
Solyc01g017070.1.1,GO:0005524,ATP binding,MF
Solyc01g017085.2.1,GO:0003735,structural constituent of ribosome,MF
Solyc01g017120.1.1,GO:0005524,ATP binding,MF
Solyc01g017140.1.1,GO:0005524,ATP binding,MF
